alg	H	time	f1	index	space
SAH	64	333.769920	99.951277	416.367	1378.67
SAH	128	381.248560	99.929995	428.02	1394.98
SAH	192	392.798560	99.951634	433.705	1397.5
SAH	256	398.409590	99.951686	448.875	1406.92
