alg	N	time	f1	index	space
SAH	20	381.248560	99.929995	428.02	1394.98
SAH	50	342.249720	99.931274	419.527	1097.05
SAH	100	344.921130	99.988629	414.533	976.092
SAH	200	349.971770	99.993443	404.426	909.532
