alg	b	time	ip	f1
H2P	0.1	908.863310	685889	83.021665
H2P	0.3	415.681230	790645	94.319104
H2P	0.5	407.265300	1011641	99.999514
H2P	0.7	449.535790	1038573	100.000000
H2P	0.9	417.214530	1053920	100.000000
SAH	0.1	394.918080	739864	89.424835
SAH	0.3	269.936870	643644	95.204775
SAH	0.5	342.249720	797941	99.931274
SAH	0.7	359.149950	809609	99.931274
SAH	0.9	314.383150	822941	99.931274
