alg	N	time	f1	index	space
SAH	20	5.237030	100.000000	20.7781	148.291
SAH	50	5.187470	100.000000	20.6988	120.674
SAH	100	5.157150	100.000000	20.0842	111.169
SAH	200	5.256350	100.000000	19.7396	106.443
