alg	b	time	ip	f1
H2P	0.1	26.721870	61224	57.399233
H2P	0.3	16.038610	61053	59.451341
H2P	0.5	12.769950	72682	99.712644
H2P	0.7	12.301110	74710	100.000000
H2P	0.9	12.405040	74710	100.000000
SAH	0.1	5.953770	18177	91.142474
SAH	0.3	4.918660	18329	93.176072
SAH	0.5	5.237030	25919	100.000000
SAH	0.7	5.715910	26622	100.000000
SAH	0.9	5.462320	26622	100.000000
