alg	H	time	f1	index	space
SAH	64	5.473840	100.000000	21.3495	147.898
SAH	128	5.237030	100.000000	20.7781	148.291
SAH	192	5.939500	100.000000	23.9069	148.547
SAH	256	5.898910	100.000000	22.2313	148.872
