alg	H	time	f1	index	space
SAH	64	71.215970	89.173732	11.4262	26.8229
SAH	128	88.321930	98.058938	11.5021	27.5562
SAH	192	112.108010	99.012214	12.1863	28.2895
SAH	256	136.165680	99.532801	12.5439	29.0229
