alg	b	time	ip	f1
H2P	0.1	409.798700	113328	62.061634
H2P	0.3	284.425470	113211	65.358545
H2P	0.5	179.305070	126930	79.891548
H2P	0.7	202.489010	293615	99.865501
H2P	0.9	259.117210	410614	100.000000
SAH	0.1	99.497910	105649	88.402059
SAH	0.3	89.600990	107003	91.047765
SAH	0.5	90.169180	126873	96.924820
SAH	0.7	167.203680	252221	99.958229
SAH	0.9	237.439860	368313	100.000000
