alg	b	time	ip	f1
H2P	0.1	21841.679950	3908109	91.193584
H2P	0.3	16467.886920	3908109	91.193584
H2P	0.5	17002.140420	3908109	91.193584
H2P	0.7	20730.941950	3908109	91.193584
H2P	0.9	18925.323740	4343940	92.546995
SAH	0.1	2550.405270	4681135	95.297690
SAH	0.3	2514.440950	4681135	95.297690
SAH	0.5	2452.376950	4681135	95.297690
SAH	0.7	2469.275020	4681135	95.297690
SAH	0.9	1920.130110	5320856	96.873361
