alg	H	time	f1	index	space
SAH	64	2026.396610	87.286096	42.8899	358.397
SAH	128	2452.376950	95.297690	46.6195	368.848
SAH	192	3069.593450	97.812142	53.0854	378.583
SAH	256	3690.349870	98.308301	60.083	388.675
