alg	N	time	f1	index	space
SAH	20	2452.376950	95.297690	46.6195	368.848
SAH	50	2387.694750	95.728086	42.2564	302.886
SAH	100	2596.263740	95.476732	47.7385	280.533
SAH	200	2350.533530	94.386401	40.797	269.364
