alg	N	time	f1	index	space
SAH	20	0.559290	100.000000	2.71792	22.8787
SAH	50	0.532300	100.000000	2.68154	18.9099
SAH	100	0.592810	100.000000	2.56632	17.5183
SAH	200	0.554190	100.000000	2.62168	16.8248
